IPLAN	ICURSO	TITULO	ITEMA	IRECURSO	BACTIVO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
020040	CP40MOD140	Explorador de elementos de inventarios para servicios											
020021	CP40MOD140	Ejemplo 1 Operación de facturación de un elemento tipo servicio											
020022	CP40MOD140	Ejemplo 2  Facturación de servicios											
030060	CP40MOD140	Comportamiento de las partes de un elemento compuesto											
030070	CP40MOD140	Formato de impresión de elementos compuestos en facturación											
030080	CP40MOD140	Formato de impresión de elementos compuestos en cotización											
030041	CP40MOD140	Ejemplo 1  Embodegamiento de elementos compuestos											
030042	CP40MOD140	Ejemplo 2  Embodegamiento de elementos compuestos											
030051	CP40MOD140	Ejemplo 1  Facturación de elemento compuesto combo egreso											
030052	CP40MOD140	Ejemplo 2 facturación de un elemento compuesto configurado para embodegamiento											
040031	CP40MOD140	Ejemplo 1  Facturación de elementos tipo plantilla											
040032	CP40MOD140	Ejemplo 2  Facturación de elementos tipo plantilla											
030070	CP40MOD170	Ejemplo 2 compras basadas en recepciones de materiales											
030080	CP40MOD170	Operación de devolución de materiales recibidos											
120040	CP40MOD140	¿Cómo se personalizan los impuestos de un elemento de inventarios?											
010	CP4CV0617	Sistema básico											
020	CP4CV0617	Contabilidad básico											
030	CP4CV0617	Cartera y proveedores											
120050	CP40MOD140	Operación de facturación de un elemento con personalización de cuentas											
120060	CP40MOD140	Ejemplo 1  Operación de compra de un elemento con personalización de cuentas											
120070	CP40MOD140	Ejemplo 2  Operación de consumo de un elemento con personalización de cuentas											
040	CP4CV0617	Automatización de documentos											
050	CP4CV0617	Nómina contable											
090015	CP40MOD140	Catálogo de perfiles de clientes											
015091	CP40MOD140	Ejemplo 1  Facturación de elementos con lista de precios con IVA											
015092	CP40MOD140	Ejemplo 2  Facturación de elementos con lista de precios sin IVA											
100050	CP40MOD140	¿Cómo crear un descuento financiero?											
040020	CP40MOD150	Configuración del cajón monedero											
030016	CP40MOD080	Consulta cuentas por cobrar por edades Lección 2 de 2											
020025	CP40MOD150	Configuración de la forma de pago por defecto											
020035	CP40MOD150	Activación de la barra de acceso rapido a funciones											
020045	CP40MOD150	Ver/ocultar la barra de botones de la operación - POS											
020021	CP40MOD150	Configuración de la forma de cobro											
020022	CP40MOD150	Selección del tipo de encabezado de datos de la operación - POS											
030005	CP40MOD150	Configuración para impresión de tirilla											
020023	CP40MOD150	Configuración de la grabación continua de operaciones											
020090	CP40MOD170	Fijar saludo y despedida estandarizados en cotizaciones											
030	CP40MOD070	Actualización Medios Magnéticos - Año 2017											
030010	CP40MOD070	Medios magnéticos año gravable 2016 Teoría I - Comunidad ContaPyme marzo 2017											
030020	CP40MOD070	Medios magnéticos año gravable 2016 Teoría II - Comunidad ContaPyme marzo 2017											
030030	CP40MOD070	Medios magnéticos año gravable 2016 Práctica - Comunidad ContaPyme marzo 2017											
010030	CP40MOD130	¿Qué es el valor neto de realización?											
052011	CP40MOD130	Ejemplo 1 operación de compras											
052012	CP40MOD130	Ejemplo 2 operación de compras											
055003	CP40MOD130	Ejemplo 1 operación de facturación y ventas											
045	CP40MOD140	ALIAS DE ELEMENTOS DE INVENTARIO											
045010	CP40MOD140	Concepto de alias de elementos de inventario											
045020	CP40MOD140	Activación y creación de un alias de elemento de inventario											
