ICURSO	QNIVEL	NNIVEL	BACTIVO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
CP40MOD360	2	Título	1								
CP40MOD370	1	Capítulo	1								
CP40MOD370	2	Título	1								
CP40MOD380	1	Capítulo	1								
CP40MOD380	2	Título	1								
CP40MOD385	1	Capítulo	1								
CP40MOD385	2	Título	1								
CP40MOD390	1	Capítulo	1								
CP40MOD390	2	Título	1								
CP40MOD420	1	Capítulo	1								
CP40MOD420	2	Título	1								
CP40MOD430	1	Capítulo	1								
CP40MOD430	2	Título	1								
CP40MOD490	1	Capítulo	1								
CP40MOD490	2	Título	1								
CP40MOD530	1	Capítulo	1								
CP40MOD530	2	Título	1								
CP40MOD600	1	Capítulo	1								
CP40MOD600	2	Título	1								
CP40MOD610	1	Capítulo	1								
CP40MOD610	2	Título	1								
CP40MOD620	1	Capítulo	1								
CP40MOD620	2	Título	1								
CP40MOD650	1	Capítulo	1								
CP40MOD650	2	Título	1								
CP40MOD660	1	Capítulo	1								
CP40MOD660	2	Título	1								
CP40MOD670	1	Capítulo	1								
CP40MOD670	2	Título	1								
CP40MOD680	1	Capítulo	1								
CP40MOD680	2	Título	1								
CP40MOD690	1	Capítulo	1								
CP40MOD690	2	Título	1								
CP40MOD700	1	Capítulo	1								
CP40MOD700	2	Título	1								
CP40MOD710	1	Capítulo	1								
CP40MOD710	2	Título	1								
CP40MOD720	1	Capítulo	1								
CP40MOD720	2	Título	1								
CP40MOD730	1	Capítulo	1								
CP40MOD730	2	Título	1								
CP40MOD740	1	Capítulo	1								
CP40MOD740	2	Título	1								
CP40MOD745	1	Capítulo	1								
CP40MOD745	2	Título	1								
CP40MOD750	1	Capítulo	1								
CP40MOD750	2	Título	1								
CP40MOD800	1	Capítulo	1								
CP40MOD800	2	Título	1								
CP40MOD801	1	Capítulo	1								
CP40MOD801	2	Título	1								
CP40MOD900	1	Capítulo	1								
CP40MOD900	2	Título	1								
CP40MOD998	1	Sin nombre	1								
CP40MOD998	2	Sin nombre	1								
CP40MOD999	1	Capitulo	1								
CP40MOD999	2	Titulo	1								
CP40SEM010	1	Capítulo	1								
CP40SEM010	2	Título	1								
CP40SEM020	1	Capítulo	1								
CP40SEM020	2	Título	1								
CP4CV0617	1	Capítulo	1								
CP4CV0617	2	Título	1								
CP4CV1017	1	Capítulo	1								
CP4CV1017	2	Título	1								
CPCAPNE	1	Capítulo	1								
CPCAPNE	2	Título	1								
CPCAPR8	1	Capítulo	1								
CPCAPR8	2	Título	1								
CPCONC521	1	Capítulo	1								
CPCONC521	2	Título	1								
CPDE621	1	Capítulo	1								
CPDE621	2	Título	1								
CPDIST2018	1	Capítulo	1								
CPDIST2018	2	Título	1								
CPDISTCHAR	1	Capítulo	1								
CPDISTCHAR	2	Título	1								
CPDR721	1	Capítulo	1								
CPDR721	2	Título	1								
CPDRJUR22	1	Capítulo	1								
CPDRJUR22	2	Título	1								
CPDRJUR23	1	Capítulo	1								
CPDRJUR23	2	Título	1								
CPDSNO2022	1	Capítulo	1								
CPDSNO2022	2	Título	1								
CPFEF1	1	Capítulo	1								
CPFEF1	2	Título	1								
CPFETFHKA	1	Capítulo	1								
CPFETFHKA	2	Título	1								
CPFORM2516	1	Capítulo	1								
CPFORM2516	2	Título	1								
