ICURSO	IPERMISO	BACTIVO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
CP40MOD710										
CP40MOD085										
CP40MOD900										
CP40MOD720										
CP40MOD730										
CP40MOD740										
CP40MOD745										
CP40MOD750										
RL2025										
DEAE0925										
FEPCE1025										
SEER1025										
SE281025										
NRT191125										
ANPP261125										
CCYF021225										
DOCE210126										
PRUEBA										
PRUEBA										
PRUEBA										
PRUEBA										
RLSM120226										
CEI180226										
